	HypoPrepubertalDHT2	HypoPrepubertalDHT3	HypoPrepubertalDHT4	HypoPrepubertalCNT1	HypoPrepubertalCNT2	HypoPrepubertalCNT3	HypoPrepubertalCNT4
Galt	1	2	1	0	0	1	0
Ccl27a	4	7	3	2	2	6	2
Gm21541	0	0	0	0	0	0	0
Gm20878	0	1	1	0	1	0	0
Gm13306	1	2	0	0	0	1	0
Gm21953	1	0	0	1	0	0	0
Gm10591	0	0	0	0	0	0	0
Ccl21a	1	4	0	5	1	0	2
Phf24	1	0	0	1	3	1	0
D0jb5	2	0	1	0	2	0	0
Vcp	2	4	2	3	6	6	2
Fancg	0	1	0	1	0	0	0
Pigo	0	0	0	0	1	0	0
Stoml2	1	2	0	0	2	0	2
Fam214b	1	1	3	1	1	4	0
Gm26881	0	1	0	0	0	2	0
Unc13b	0	0	0	0	0	0	0
Gm23709	0	0	0	0	0	0	0
Rusc2	1	1	1	1	1	0	0
Tesk1	0	0	0	0	1	0	0
Ccdc107	2	2	3	1	1	2	0
Tpm2	1	0	0	1	0	0	0
Tln1	1	2	2	2	3	1	0
Creb3	2	1	1	1	3	2	1
Gba2	0	0	1	0	1	0	0
Rgp1	1	1	1	0	0	1	0
Npr2	0	0	0	0	0	2	0
Spag8	0	0	0	0	0	0	1
Hint2	3	2	1	0	0	2	1
Gm12481	0	1	0	0	1	2	0
Tmem8b	0	1	0	1	0	0	0
Glipr2	0	1	0	0	0	0	0
Clta	1	2	1	3	2	1	1
Gne	1	0	0	1	1	0	0
Rnf38	0	1	1	3	0	0	0
Zcchc7	1	1	0	1	1	0	0
Grhpr	0	1	0	1	1	2	1
Zbtb5	0	1	0	0	0	0	0
Fbxo10	1	1	1	1	1	1	0
Tomm5	4	1	2	1	3	4	0
Trmt10b	1	1	2	0	1	1	0
Dcaf10	1	1	1	0	1	0	0
Slc25a51	1	3	0	1	2	1	0
Shb	0	0	0	0	0	0	0
Gm12411	1	3	2	2	2	1	0
Aldh1b1	0	2	0	1	0	0	0
Tdrd7	1	1	0	0	0	0	0
Tmod1	0	0	0	0	0	0	0
Tstd2	0	0	0	0	0	3	0
Ncbp1	1	1	1	1	0	0	1
Xpa	0	0	0	2	0	0	0
Anp32b	0	3	0	0	0	2	1
0ns	0	1	1	0	2	0	0
Gabbr2	2	0	0	0	1	1	0
Col15a1	0	0	0	0	1	2	0
Tgfbr1	0	1	0	0	0	1	0
Alg2	1	3	1	5	9	2	1
Sec61b	3	14	5	5	8	4	2
Stx17	0	0	0	2	0	0	0
Erp44	0	2	0	0	0	1	0
Invs	0	0	0	0	1	0	1
Tex10	0	1	0	0	0	1	0
Msantd3	0	0	0	0	0	0	0
Tmeff1	0	0	1	0	1	0	0
Plppr1	0	1	0	1	0	0	0
Mrpl50	0	0	0	0	2	0	0
Tmem246	1	3	1	4	4	2	0
Rnf20	0	1	0	0	0	0	1
Grin3a	1	0	0	0	2	2	0
Gm12459	0	0	0	0	0	0	0
Smc2	0	0	0	0	0	0	0
Nips0p3b	0	1	0	0	0	2	0
Abca1	1	1	0	0	2	0	1
Slc44a1	1	0	1	0	0	0	0
Fsd1l	0	0	0	0	1	0	0
Fktn	0	0	0	0	0	0	0
Tmem38b	0	0	0	0	1	0	0
Zfp462	1	1	0	0	2	1	0
Rad23b	0	1	1	0	0	1	0
Klf4	0	0	0	0	0	0	0
Ikbkap	0	0	0	1	1	0	0
Fam206a	0	0	2	0	0	0	0
Ctn0l1	0	0	0	0	0	0	0
Tmem245	0	5	1	1	0	0	0
Frrs1l	1	1	1	0	1	1	0
Epb41l4b	1	0	0	1	0	0	0
Ptpn3	0	0	0	0	0	0	0
Gm12537	0	0	0	0	0	0	0
Txn1	5	14	7	10	12	4	2
Svep1	0	0	0	0	0	0	0
Lpar1	0	0	0	2	0	1	0
AI314180	0	0	1	0	1	0	0
Zkscan16	0	0	0	0	0	0	0
Ptgr1	0	2	0	0	0	0	0
D0jc25	0	2	0	0	0	0	0
Gng10	0	1	0	0	3	2	1
Ugcg	0	0	0	0	1	0	0
Susd1	0	0	0	0	1	0	0
Ptbp3	1	1	0	0	0	1	1
Hsdl2	0	1	0	0	0	1	0
E130308A19Rik	0	0	0	1	0	0	0
Inip	0	0	1	0	0	1	0
Snx30	1	1	0	0	0	0	0
Mup10	0	0	0	0	0	0	0
Mup11	2	1	1	0	0	0	0
Mup13	0	0	0	0	0	0	0
Mup15	0	1	0	0	0	0	0
Mup18	0	0	0	1	0	0	0
Slc31a2	0	0	0	1	0	1	0
Fkbp15	1	0	1	0	0	0	0
Slc31a1	2	2	0	0	0	0	0
Cdc26	0	1	2	1	5	1	0
Prpf4	0	1	0	0	1	1	0
Wdr31	0	2	0	0	0	0	0
Alad	1	3	1	1	4	1	0
Pole3	0	0	2	2	0	0	0
Rgs3	0	1	0	0	0	1	2
Zfp618	1	0	0	0	0	0	0
Col27a1	1	0	0	0	0	0	0
Orm1	1	0	1	1	0	0	1
Whrn	0	0	0	0	1	0	0
Atp6v1g1	4	6	4	6	5	9	3
Tmem268	0	0	0	1	0	0	0
Rpl17-ps4	0	0	0	0	0	0	0
Tnc	0	0	0	0	0	1	0
8030451A03Rik	0	0	1	1	1	0	0
Pappa	0	1	0	0	0	0	0
Trim32	0	2	1	0	1	1	0
Gm11249	0	1	0	0	0	0	0
Brinp1	0	0	1	1	2	0	1
Gm11223	7	5	8	7	6	2	0
Cdk5rap2	0	0	0	0	0	1	0
Megf9	0	0	0	0	0	0	0
Tle1	1	0	1	0	0	0	0
Kdm4c	0	0	0	0	0	0	0
Dmac1	0	1	0	0	2	1	0
Ptprd	0	5	3	3	3	4	0
Gm11263	9	9	4	5	13	6	4
Mpdz	0	0	1	1	0	0	0
Nfib	1	0	1	0	0	1	0
Zdhhc21	0	0	0	0	1	1	0
Ttc39b	0	1	1	0	0	1	0
S0pc3	0	0	0	0	0	2	0
Psip1	0	0	2	0	0	0	0
Ccdc171	0	0	0	0	2	1	0
Gm27046	0	0	0	0	0	0	0
Bnc2	0	2	0	0	0	0	0
Gm12420	0	0	0	0	0	0	0
Sh3gl2	1	0	1	2	0	0	0
Adamtsl1	1	0	0	0	0	0	0
Rraga	0	1	4	0	0	1	0
Plin2	1	1	0	1	1	2	0
Rps6	30	41	18	23	23	21	4
Acer2	0	0	0	0	0	2	0
Slc24a2	2	0	3	0	0	0	0
Mllt3	0	0	0	1	1	0	0
Focad	0	0	0	0	0	0	0
Hacd4	0	0	0	0	0	1	0
Klhl9	1	3	0	0	1	1	0
Mtap	0	0	0	0	2	0	0
Elavl2	0	0	0	2	3	3	0
Tusc1	0	0	0	0	0	0	0
Plaa	1	0	0	0	1	0	0
Ift74	1	1	0	0	0	2	0
Tek	0	0	1	0	0	0	0
Gm12693	0	0	0	0	1	0	0
Mysm1	0	0	0	0	2	1	0
Jun	1	2	1	2	0	0	1
Fggy	0	1	1	0	2	0	0
Hook1	0	0	0	0	0	1	1
Cyp2j6	0	1	0	0	1	0	0
Cyp2j9	0	0	0	1	1	0	1
E130114P18Rik	0	0	0	0	0	0	0
Nfia	0	0	0	1	2	0	1
Tm2d1	0	1	1	0	1	1	0
Patj	2	1	3	3	0	1	0
Kank4	0	0	1	0	0	0	1
Usp1	0	0	0	0	0	0	0
Dock7	2	1	0	0	0	0	1
Atg4c	0	0	0	1	0	0	0
Itgb3bp	0	1	0	1	0	0	0
Pgm2	0	3	3	3	3	2	0
Cachd1	1	0	1	0	3	1	0
Raver2	0	0	0	1	1	0	0
Jak1	0	6	0	0	1	2	0
Ak4	0	0	0	0	0	0	0
D0jc6	1	0	0	0	1	1	2
Leprot	0	0	0	0	0	1	0
Pde4b	1	0	1	1	0	0	0
Sgip1	0	0	0	0	0	0	0
Wdr78	0	0	0	0	0	0	1
Mier1	0	2	0	0	0	0	1
Slc35d1	0	0	0	0	0	0	0
Oma1	1	1	0	0	0	0	0
Gm12715	4	2	1	4	0	2	1
Dab1	0	1	0	0	0	0	0
Prkaa2	0	0	0	0	0	0	0
Plpp3	1	1	1	1	5	1	0
Usp24	0	0	0	1	1	0	1
Dhcr24	1	0	0	0	2	0	0
Pars2	0	1	0	0	0	0	1
Ttc4	0	2	0	2	1	2	1
Mroh7	0	0	0	0	0	1	0
Acot11	0	2	1	0	1	1	0
Ssbp3	3	1	3	1	2	2	0
Mrpl37	1	0	0	1	1	0	0
Gm12802	0	0	0	0	0	0	0
Tceanc2	0	0	0	0	0	0	0
Tmem59	5	7	8	3	8	2	4
Lrrc42	0	0	0	0	0	0	0
Hspb11	0	0	0	0	2	0	0
Yipf1	1	0	0	1	0	1	0
Ndc1	0	0	0	0	0	0	0
Lrp8	0	0	0	0	1	1	1
Lrp8os2	0	0	0	1	0	0	0
Magoh	0	1	0	0	0	0	0
0610037L13Rik	1	1	1	1	1	3	0
Cpt2	2	2	0	1	0	0	0
Scp2	4	6	2	1	5	4	0
Echdc2	1	1	0	2	0	0	0
Zyg11b	0	0	1	1	1	0	0
Coa7	1	0	0	0	0	0	1
Gpx7	0	1	0	0	1	0	0
Zcchc11	0	3	0	1	0	0	0
Prpf38a	0	0	1	0	2	0	0
Cc2d1b	1	0	0	0	1	1	0
Gm17354	0	0	0	0	0	0	0
Zfyve9	2	0	0	0	0	0	0
Btf3l4	0	0	0	2	1	0	1
Txndc12	0	1	1	0	1	1	1
Kti12	0	1	0	0	0	0	0
Rab3b	0	2	0	0	2	0	1
Nrd1	0	1	0	2	0	0	1
Osbpl9	3	1	1	1	1	0	0
Eps15	1	0	1	1	0	3	0
Rnf11	0	0	0	0	1	1	0
Cdkn2c	0	1	0	0	0	0	0
Faf1	0	0	0	0	0	0	0
Elavl4	1	1	0	0	2	0	0
Agbl4	0	1	0	0	0	2	0
Trabd2b	0	0	0	0	0	0	0
Cmpk1	0	2	0	2	0	1	3
Efcab14	1	1	0	1	1	0	0
Atpaf1	0	1	0	0	1	0	0
Mob3c	0	0	0	0	1	0	0
Mknk1	1	0	0	0	0	0	0
Faah	0	0	1	0	0	0	0
Nsun4	1	0	0	0	1	0	1
Uqcrh	16	12	11	14	13	8	3
Lrrc41	0	0	0	0	0	1	0
Pomgnt1	1	0	0	1	1	1	0
Lurap1	1	0	0	0	0	0	0
Pik3r3	2	0	1	0	1	0	0
Mast2	0	0	0	2	1	1	1
Ipp	0	0	1	1	0	0	0
Gpbp1l1	1	1	1	0	1	0	0
Ccdc17	0	0	0	0	0	0	0
0sp	2	2	1	0	0	0	0
Akr1a1	14	36	18	18	37	26	5
Prdx1	2	10	2	3	5	4	3
Mmachc	0	0	0	0	0	0	0
Ccdc163	0	0	0	0	0	0	0
Toe1	0	0	1	0	0	0	0
Urod	2	3	1	3	2	2	2
Hectd3	0	0	0	0	0	0	1
Eif2b3	1	0	1	0	1	0	0
Btbd19	0	3	1	3	3	0	1
Tctex1d4	0	0	0	0	0	0	0
Plk3	0	0	0	0	0	1	0
Rps8	8	21	10	10	16	12	4
Tmem53	0	0	0	0	0	0	0
Rnf220	3	1	2	2	2	1	1
Eri3	2	2	3	3	5	1	0
Dmap1	0	2	0	1	2	0	0
Slc6a9	0	1	1	0	0	1	1
B4galt2	0	0	0	1	1	0	0
Atp6v0b	6	14	11	6	12	3	4
Dph2	0	1	0	0	0	0	0
Ipo13	0	0	0	0	0	1	0
St3gal3	1	0	0	0	1	1	0
Kdm4a	1	0	0	0	1	1	0
Ptprf	1	3	0	1	3	3	0
Hyi	1	0	0	1	0	0	0
Szt2	0	2	0	0	0	1	0
Med8	0	1	0	0	1	0	0
Elovl1	0	2	1	1	0	1	0
Cdc20	0	0	0	0	0	0	0
Tie1	0	0	0	0	0	2	0
Eb01bp2	4	2	1	3	3	3	1
Slc2a1	1	1	1	0	0	1	0
Zfp691	0	0	0	0	0	0	0
Svbp	1	4	1	1	0	1	0
AU022252	0	0	0	0	1	0	0
P3h1	0	0	0	0	0	0	0
Ybx1	2	5	2	4	1	5	0
Ppih	0	0	0	0	0	0	0
Ccdc30	0	0	0	0	1	1	0
Ppcs	1	0	3	0	0	1	0
Frg2f1	0	0	0	0	0	0	0
Foxj3	0	0	2	1	1	0	0
Hivep3	1	1	0	0	1	1	0
Scmh1	0	1	0	1	0	0	0
Ctps	0	0	0	0	0	1	0
Cited4	0	0	0	1	0	0	0
Nfyc	0	1	0	0	0	0	0
Rims3	1	1	1	1	3	0	0
Exo5	0	0	1	0	1	1	0
Smap2	0	1	1	1	1	2	0
Col9a2	0	0	0	0	0	1	0
Zmpste24	0	0	0	1	2	1	0
Rlf	0	0	1	0	1	0	0
Gm12892	2	3	4	2	6	4	2
Ppt1	0	0	0	2	2	4	1
Cap1	0	1	0	0	0	0	1
Mfsd2a	0	0	1	0	0	0	0
Mycl	0	0	0	0	0	1	0
Trit1	0	0	0	0	2	0	0
Ppie	1	0	0	0	2	0	1
Hpcal4	0	1	1	1	2	2	0
Heyl	0	1	0	0	0	0	0
Pabpc4	0	1	0	1	0	2	0
Macf1	1	3	7	2	2	2	0
Ndufs5	15	12	18	9	11	9	2
Akirin1	0	1	0	0	0	3	0
Mycbp	0	0	0	0	0	0	0
Rragc	2	0	1	0	3	2	1
Utp11	1	4	1	1	0	0	0
Sf3a3	1	3	2	3	1	2	3
Mtf1	1	1	1	0	1	1	0
1110065P20Rik	0	3	0	0	1	0	0
Yrdc	0	0	0	1	0	0	0
Maneal	1	0	2	0	1	2	0
Epha10	0	1	2	0	0	1	0
Cdca8	0	1	0	1	0	0	0
9930104L06Rik	0	0	0	0	1	0	0
Rspo1	0	0	1	0	2	0	0
Gnl2	0	0	0	1	2	1	1
Snip1	0	0	0	0	0	0	0
Meaf6	0	3	0	2	2	0	2
Grik3	0	0	0	0	0	0	0
Ftl2-ps	0	2	3	1	0	2	0
Mrps15	1	3	1	2	4	1	1
Oscp1	2	0	1	4	1	2	0
Rpl28-ps3	0	0	0	0	0	0	0
Lsm10	1	3	0	1	1	0	0
Stk40	0	1	0	1	0	0	0
Eva1b	1	1	0	0	1	0	0
Thrap3	1	1	2	0	0	0	0
Map7d1	2	2	4	1	2	2	0
Trappc3	0	3	3	2	2	3	0
Adprhl2	0	0	0	1	0	0	0
Ago3	1	3	1	2	2	1	1
Ago1	0	0	0	0	0	1	0
5730409E04Rik	1	0	1	1	2	0	1
Psmb2	5	5	1	1	9	1	0
Ncdn	8	6	3	1	2	3	1
AU040320	1	2	2	1	0	2	0
Zmym4	2	0	0	0	0	0	0
Sfpq	1	3	0	1	0	2	0
Gm12940	0	0	0	0	0	0	0
Zmym1	0	0	0	0	1	0	0
Zmym6	1	1	0	1	1	0	0
Tmem35b	0	0	1	0	0	0	0
Dlgap3	0	0	0	1	1	0	0
Smim12	2	2	2	1	0	1	0
Csmd2	0	1	1	0	2	2	0
Phc2	1	1	0	0	0	1	1
Zfp362	0	2	0	0	0	0	0
Trim62	0	1	0	0	0	0	0
Azin2	0	0	0	0	0	0	0
Ak2	1	1	2	3	2	0	1
Rnf19b	0	0	0	0	1	0	0
Hpca	6	3	7	4	2	5	0
Fndc5	2	1	2	3	0	1	0
S100pbp	0	1	2	1	0	0	0
Yars	3	2	0	0	4	2	0
Rbbp4	2	2	0	1	1	0	0
Zbtb8os	1	0	0	0	2	1	1
Bsdc1	0	1	0	0	0	0	0
Marcksl1	0	1	0	0	0	0	0
Hdac1	0	1	0	2	0	0	0
Lck	0	0	0	0	1	0	0
Fam167b	0	0	0	0	0	0	0
Eif3i	2	2	1	0	3	3	1
Tmem234	4	2	2	2	3	2	1
Iqcc	0	0	2	0	0	2	0
Ccdc28b	2	1	1	0	0	2	0
Txl0	0	0	0	1	0	0	0
Kp06	0	0	0	0	0	0	0
Tmem39b	0	0	1	0	0	1	0
Khdrbs1	0	3	2	0	1	2	0
Gm12967	0	0	0	1	1	0	0
Ptp4a2	0	0	2	2	1	1	0
Gm12966	0	0	0	0	0	0	0
E330017L17Rik	0	1	0	1	0	0	0
1700003M07Rik	1	0	1	0	0	0	0
Adgrb2	0	1	0	0	1	1	0
Col16a1	0	0	0	0	0	0	0
Pef1	0	2	2	0	1	1	0
Ti0gl1	0	0	0	1	0	2	0
Fabp3	2	5	4	4	3	1	1
Zcchc17	3	2	2	2	2	2	0
Snrnp40	0	0	1	0	2	1	0
Pum1	2	4	0	0	0	3	0
Sdc3	2	1	0	1	1	2	0
Laptm5	0	3	0	1	2	0	0
Ptpru	1	1	1	0	0	0	0
Mecr	0	1	0	1	1	1	0
Srsf4	1	1	2	1	1	0	0
Epb41	0	1	1	0	0	1	0
Ythdf2	1	0	0	0	0	1	0
Rps15a-ps4	0	0	0	0	0	0	0
Gmeb1	0	0	0	0	0	0	0
Taf12	1	1	0	2	0	0	0
Snhg12	1	1	3	0	0	5	1
Tr0u1ap	1	3	0	1	1	2	0
Rcc1	0	1	0	0	0	0	0
Snhg3	0	1	0	0	0	0	0
Phactr4	0	2	0	0	0	1	0
Sesn2	0	1	0	0	0	2	0
Atpif1	22	15	23	16	20	13	6
D0jc8	1	2	3	5	2	6	1
Eya3	0	0	0	0	1	1	0
Smpdl3b	0	1	0	0	0	0	0
Rpa2	0	0	0	0	0	0	1
Ppp1r8	0	0	1	0	2	0	0
Stx12	2	1	0	2	1	2	0
Fam76a	0	0	0	0	1	0	0
Ahdc1	0	0	0	0	0	0	0
Wasf2	0	0	0	1	2	0	0
Cd164l2	0	0	0	0	0	0	0
Map3k6	0	2	0	0	0	0	0
Tmem222	1	2	2	0	1	3	1
Wdtc1	1	0	1	0	0	0	0
Slc9a1	1	1	1	0	1	1	0
Trnp1	0	1	0	2	0	0	0
Nudc	1	3	2	1	0	0	1
Gpn2	1	0	0	1	0	0	1
Sfn	0	0	0	0	0	0	0
Zdhhc18	0	0	0	0	1	0	0
Arid1a	3	0	0	0	0	1	2
Hmgn2	1	3	3	5	7	1	0
Dhdds	1	0	0	0	1	2	0
Cd52	0	1	1	0	0	1	0
Ubxn11	0	1	0	0	1	2	0
Sh3bgrl3	2	3	3	3	7	1	0
Cep85	0	0	0	0	0	1	0
Zfp593	0	0	1	0	1	0	0
Grrp1	0	1	0	0	0	0	0
Extl1	0	0	1	0	0	0	0
Stmn1	10	6	12	7	18	9	3
Paqr7	2	1	0	1	2	1	0
Mtfr1l	1	3	0	0	1	2	0
Selenon	0	0	1	0	0	1	0
Tmem57	0	1	0	0	0	1	0
Tmem50a	4	6	6	4	13	6	1
Rsrp1	1	6	1	1	2	1	1
Syf2	1	3	1	4	3	3	0
Clic4	0	1	1	0	0	0	1
Srrm1	0	3	0	0	2	1	0
Rcan3	0	1	0	0	0	0	1
Nipal3	0	6	4	1	6	3	1
Srsf10	0	2	0	2	0	0	1
Pnrc2	1	1	1	1	1	0	0
Fuca1	1	5	3	0	3	3	1
Hmgcl	0	1	3	1	5	1	0
Gale	0	1	2	0	0	2	1
Lypla2	1	0	0	2	1	2	2
Pithd1	1	0	0	1	0	1	0
Eloa	0	0	0	1	0	0	0
Rpl11	14	42	14	25	29	18	13
Id3	2	1	0	0	2	1	2
Asap3	1	0	0	0	0	0	0
Tcea3	0	0	1	0	0	0	0
Hnrnpr	0	2	1	0	3	2	2
Luzp1	0	0	0	0	2	0	1
Kdm1a	2	1	1	0	1	0	0
Ephb2	0	1	0	0	0	0	0
C1qb	2	6	3	5	4	0	0
C1qc	0	0	1	1	0	0	0
C1qa	0	2	1	1	1	1	1
Wnt4	2	0	0	2	1	1	0
Cdc42	3	2	1	1	4	1	0
Rpl31-ps10	4	3	1	0	2	1	3
Hspg2	1	0	0	0	0	1	1
Usp48	0	1	0	1	1	0	0
Rap1gap	0	0	0	2	1	2	0
Alpl	0	0	0	0	0	0	0
Ece1	0	2	2	1	3	0	0
Eif4g3	1	2	4	1	0	2	1
Hp1bp3	0	1	3	3	4	4	0
Sh2d5	1	0	0	0	0	0	1
Kif17	0	0	0	0	1	0	0
Ddost	0	2	0	5	4	0	0
Pink1	2	0	3	1	1	3	0
Cda	0	0	0	0	0	0	0
Rpl38-ps1	0	0	0	0	0	0	0
Mul1	1	0	1	1	0	0	0
Camk2n1	2	1	1	1	4	2	1
Vwa5b1	0	0	0	0	1	0	0
Pla2g5	0	2	0	0	1	0	0
Tmco4	0	0	0	0	0	0	0
Nbl1	0	0	0	0	1	0	0
Minos1	9	14	6	6	12	9	2
Capzb	0	6	4	5	4	4	0
Pqlc2	0	1	0	0	1	1	0
Akr7a5	1	0	0	0	0	0	0
Gm24245	2	1	2	1	1	0	0
Mrto4	0	1	0	2	1	2	2
Emc1	1	2	0	0	0	2	0
Ubr4	1	0	1	2	2	3	1
Iffo2	0	0	0	0	1	2	0
Aldh4a1	1	5	0	2	0	2	0
Klhdc7a	0	0	0	0	0	0	0
Arhgef10l	0	1	1	0	0	0	0
Rcc2	2	0	0	1	1	0	0
Padi6	0	2	0	0	0	0	0
Padi2	1	0	1	0	0	0	0
Sdhb	5	9	10	5	9	10	1
Atp13a2	1	1	1	4	0	1	0
Mfap2	0	2	2	0	0	0	0
Crocc	1	3	3	1	3	2	0
Necap2	1	2	0	3	1	0	0
Szrd1	0	1	2	1	2	0	0
Fbxo42	1	1	1	1	0	0	1
Rsg1	0	0	0	0	0	0	0
Zbtb17	1	2	0	0	0	0	0
Spen	0	0	2	0	0	0	0
Slc25a34	0	0	0	0	0	0	1
Plekhm2	0	2	1	1	0	2	0
Ddi2	0	1	1	0	0	1	0
D0jc16	0	1	0	1	3	0	0
Casp9	0	0	0	0	0	0	0
Efhd2	2	2	1	2	1	0	1
Fhad1	0	0	0	0	2	1	1
Tmem51	0	0	1	0	0	0	0
Kazn	0	0	0	0	0	0	0
Prdm2	0	0	0	0	0	0	0
Pdpn	0	1	1	0	0	0	0
Dhrs3	1	1	0	0	3	2	1
Vps13d	0	2	1	4	4	1	0
Tnfrsf1b	0	1	0	0	0	0	1
Gm13226	0	0	0	0	0	1	0
Zfp993	0	0	0	0	1	0	0
Zfp991	1	0	0	0	0	0	0
Zfp984	0	1	0	0	0	0	0
Rps19-ps3	0	0	0	0	0	0	0
Zfp933	0	0	0	0	0	0	0
Miip	0	0	0	0	0	1	0
Mfn2	2	8	7	2	2	4	1
Plod1	0	1	0	1	1	0	0
2510039O18Rik	0	0	1	0	1	1	0
Clcn6	0	0	1	0	1	0	0
Chchd2-ps	0	0	1	2	1	2	2
Agtrap	0	0	0	0	1	0	0
Mad2l2	0	1	1	0	1	1	0
Fbxo6	0	1	0	0	0	1	0
Fbxo44	2	3	0	3	0	5	3
Fbxo2	1	1	3	5	1	2	0
Disp3	0	1	0	0	1	0	0
Ubiad1	0	0	0	0	0	0	0
Mtor	0	0	1	0	1	2	0
Exosc10	1	2	1	1	0	1	0
Srm	0	0	0	0	0	0	0
Tardbp	0	1	1	0	2	2	0
Casz1	0	0	0	0	0	0	0
Gm13205	3	0	1	0	0	0	0
Gm17029	1	0	0	0	0	1	0
Pex14	0	1	0	0	2	0	1
Dffa	0	2	0	1	0	0	1
Cenps	1	0	0	0	0	2	0
Rpsa-ps12	0	1	0	0	0	0	0
Pgd	0	3	1	0	4	0	1
Kif1b	3	2	1	4	3	5	0
Ube4b	1	1	0	2	0	0	0
Ctnnbip1	0	0	0	0	0	1	0
Clstn1	7	9	4	3	7	4	1
Pik3cd	0	0	0	0	0	0	1
Tmem201	0	0	0	0	1	3	2
Slc25a33	1	1	2	0	1	1	0
Spsb1	0	2	0	0	0	0	1
H6pd	0	0	0	0	0	0	0
Slc2a5	0	0	0	0	0	1	0
Eno1	15	15	14	4	12	15	6
Rere	0	2	0	2	2	1	0
Slc45a1	0	0	1	0	0	0	0
Rps15a-ps3	0	0	0	1	0	0	0
Errfi1	1	1	0	0	0	1	0
Park7	14	12	13	13	16	6	2
Tnfrsf9	0	0	0	0	0	0	0
Camta1	4	0	1	1	1	0	0
Per3	0	0	0	0	0	2	1
Vamp3	0	0	0	0	0	0	0
D0jc11	1	1	0	1	4	1	2
Thap3	1	2	0	1	1	0	1
Phf13	0	0	1	0	0	0	0
Klhl21	1	0	1	0	1	1	0
Zbtb48	0	0	0	0	1	0	0
Nol9	1	0	0	0	1	1	0
Plekhg5	0	0	0	0	1	1	0
Espn	0	0	0	0	1	0	0
Acot7	7	13	5	7	5	8	2
Gpr153	1	0	0	0	0	0	0
Icmt	0	0	0	1	0	1	0
Rpl22	4	8	1	2	5	4	2
Chd5	0	7	0	2	2	5	2
Kc0b2	1	3	1	1	2	0	0
Ajap1	0	1	0	0	0	0	0
BC039966	0	0	0	0	0	0	0
A430005L14Rik	1	1	0	1	1	1	0
Cep104	2	0	0	1	0	1	0
Lrrc47	0	0	0	0	1	1	0
Smim1	2	4	1	1	1	3	0
Wrap73	0	1	0	0	0	1	1
Tprgl	0	0	0	1	0	0	0
Megf6	0	0	1	0	0	0	1
Prdm16	0	0	1	0	1	1	0
Mmel1	0	0	0	0	0	0	0
Fam213b	3	3	6	5	11	7	1
Hes5	0	0	0	0	0	0	0
Pank4	1	0	0	1	3	0	0
Plch2	0	0	0	0	1	1	0
Pex10	1	0	0	0	0	1	0
Rer1	2	2	2	2	6	0	0
Morn1	0	0	0	0	0	2	1
Ski	2	0	0	0	2	3	0
Faap20	0	1	0	0	0	1	0
Prkcz	1	2	1	0	1	0	0
Cfap74	0	0	0	0	0	1	0
Gnb1	2	7	2	4	7	3	0
0dk	0	0	0	0	1	1	0
Cdk11b	0	2	0	1	1	1	0
Mmp23	0	0	0	0	0	0	0
Mib2	1	1	0	0	0	1	0
Fndc10	2	0	0	0	1	0	0
Ssu72	2	1	0	1	0	2	2
Tmem240	2	1	0	0	0	1	0
Atad3a	1	1	0	0	1	1	1
Vwa1	2	1	0	0	1	1	0
Tmem88b	0	0	0	0	0	0	0
Mrpl20	4	2	4	4	4	1	1
Ccnl2	1	0	4	1	0	1	1
Aurkaip1	2	0	1	1	4	2	0
Mxra8	0	1	0	0	1	0	0
Dvl1	1	2	1	1	1	0	0
Cptp	0	0	0	0	3	0	1
Ints11	0	0	1	0	0	0	1
Pusl1	0	0	0	0	0	0	0
Acap3	0	0	1	1	0	3	1
Ube2j2	0	1	0	0	0	1	0
C1qtnf12	0	0	0	1	1	1	0
B3galt6	0	0	0	0	0	0	0
Sdf4	0	4	0	4	3	3	1
Gm37090	0	0	0	2	1	0	1
Gm16008	0	1	0	0	0	0	0
Tnfrsf18	0	0	0	0	0	0	0
Agrn	0	0	3	0	1	2	1
Isg15	0	1	0	1	0	0	0
Plekhn1	2	0	0	0	0	0	0
Noc2l	0	0	0	0	0	1	1
Gm15772	5	7	4	11	4	1	2
Cdk6	0	0	1	0	0	0	1
Fam133b	6	1	3	0	0	0	1
Rbm48	0	0	1	0	0	0	0
Pex1	0	0	0	0	1	1	0
Gatad1	0	0	0	1	0	1	0
Ankib1	2	1	0	2	1	0	0
Krit1	0	0	1	0	1	0	0
Rps4x-ps	1	1	0	1	1	0	0
Mterf1a	0	2	0	0	0	1	0
Akap9	1	5	2	1	3	0	0
Cyp51	0	1	0	0	0	2	0
Mterf1b	2	0	0	0	2	0	0
Fzd1	0	1	0	0	0	0	0
Cdk14	1	0	0	0	2	0	1
Cldn12	0	0	0	0	0	0	0
Gtpbp10	0	0	0	0	0	0	0
Cfap69	0	0	1	0	0	0	0
Gm15459	0	3	5	1	5	3	3
Tubb4b-ps1	3	1	0	0	2	0	1
Steap4	0	0	0	1	0	0	0
Sri	0	5	2	5	3	4	0
Gm15730	3	0	2	1	1	0	1
Adam22	0	1	2	0	0	0	0
Slc25a40	0	0	1	0	0	0	0
Abcb1a	1	0	0	0	0	1	0
Abcb1b	0	1	1	2	3	1	1
Crot	0	2	0	0	1	0	0
Gm15610	1	1	3	0	1	0	0
Tmem243	0	0	2	1	0	0	0
Dmtf1	0	1	1	0	0	1	0
Gm4959	1	0	0	1	3	0	1
